"T","Points:0","Points:1","Points:2"
346.25,0.402,-0.13224,0
347.29,0.408,-0.13224,0
347.76,0.414,-0.13224,0
347.06,0.42,-0.13224,0
344.26,0.426,-0.13224,0
341.65,0.432,-0.13224,0
339.95,0.438,-0.13224,0
334.07,0.444,-0.13224,0
328.55,0.45,-0.13224,0
326.17,0.456,-0.13224,0
324.63,0.462,-0.13224,0
324.98,0.468,-0.13224,0
325.67,0.474,-0.13224,0
326.7,0.48,-0.13224,0
329.31,0.486,-0.13224,0
331.06,0.492,-0.13224,0
330.72,0.498,-0.13224,0
330.27,0.504,-0.13224,0
329.99,0.51,-0.13224,0
329.35,0.516,-0.13224,0
327.9,0.522,-0.13224,0
325.54,0.528,-0.13224,0
322.84,0.534,-0.13224,0
321.24,0.54,-0.13224,0
321.29,0.546,-0.13224,0
322.34,0.552,-0.13224,0
324.77,0.558,-0.13224,0
326,0.564,-0.13224,0
320.41,0.57,-0.13224,0
315.36,0.576,-0.13224,0
319.97,0.006,-0.12931,0
320,0,-0.12931,0
319.98,0.012,-0.12931,0
319.98,0.018,-0.12931,0
319.98,0.024,-0.12931,0
319.98,0.03,-0.12931,0
319.98,0.036,-0.12931,0
319.98,0.042,-0.12931,0
319.98,0.048,-0.12931,0
319.98,0.054,-0.12931,0
319.98,0.06,-0.12931,0
319.98,0.066,-0.12931,0
319.98,0.072,-0.12931,0
319.97,0.078,-0.12931,0
319.97,0.084,-0.12931,0
319.97,0.09,-0.12931,0
319.96,0.096,-0.12931,0
319.96,0.102,-0.12931,0
319.96,0.108,-0.12931,0
319.96,0.114,-0.12931,0
319.95,0.12,-0.12931,0
319.95,0.126,-0.12931,0
319.95,0.132,-0.12931,0
319.95,0.138,-0.12931,0
319.95,0.144,-0.12931,0
319.95,0.15,-0.12931,0
319.95,0.156,-0.12931,0
319.94,0.162,-0.12931,0
319.94,0.168,-0.12931,0
319.93,0.174,-0.12931,0
319.93,0.18,-0.12931,0
319.92,0.186,-0.12931,0
319.91,0.192,-0.12931,0
319.9,0.198,-0.12931,0
319.89,0.204,-0.12931,0
319.89,0.21,-0.12931,0
319.94,0.216,-0.12931,0
320.12,0.222,-0.12931,0
320.37,0.228,-0.12931,0
321.73,0.234,-0.12931,0
327.65,0.24,-0.12931,0
337.63,0.246,-0.12931,0
343.56,0.252,-0.12931,0
342.4,0.258,-0.12931,0
340.87,0.264,-0.12931,0
342.98,0.27,-0.12931,0
345.44,0.276,-0.12931,0
343.91,0.282,-0.12931,0
340.03,0.288,-0.12931,0
338.99,0.294,-0.12931,0
344.09,0.3,-0.12931,0
353.43,0.306,-0.12931,0
358.84,0.312,-0.12931,0
359.29,0.318,-0.12931,0
359.66,0.324,-0.12931,0
359.75,0.33,-0.12931,0
358.62,0.336,-0.12931,0
357.43,0.342,-0.12931,0
356.35,0.348,-0.12931,0
355,0.354,-0.12931,0
353.82,0.36,-0.12931,0
352.7,0.366,-0.12931,0
351.53,0.372,-0.12931,0
351.23,0.378,-0.12931,0
351.49,0.384,-0.12931,0
349.81,0.39,-0.12931,0
347.49,0.396,-0.12931,0
346.78,0.402,-0.12931,0
347.03,0.408,-0.12931,0
347.24,0.414,-0.12931,0
347.08,0.42,-0.12931,0
345.38,0.426,-0.12931,0
343.35,0.432,-0.12931,0
341.47,0.438,-0.12931,0
335.04,0.444,-0.12931,0
329.15,0.45,-0.12931,0
327.63,0.456,-0.12931,0
326.99,0.462,-0.12931,0
327.83,0.468,-0.12931,0
329.09,0.474,-0.12931,0
330.35,0.48,-0.12931,0
331.95,0.486,-0.12931,0
332.22,0.492,-0.12931,0
331.09,0.498,-0.12931,0
329.7,0.504,-0.12931,0
328.2,0.51,-0.12931,0
326.41,0.516,-0.12931,0
324.34,0.522,-0.12931,0
322.36,0.528,-0.12931,0
320.99,0.534,-0.12931,0
320.3,0.54,-0.12931,0
320.08,0.546,-0.12931,0
320.38,0.552,-0.12931,0
321.95,0.558,-0.12931,0
323.46,0.564,-0.12931,0
320.06,0.57,-0.12931,0
316.39,0.576,-0.12931,0
319.97,0.006,-0.12637,0
320,0,-0.12637,0
319.98,0.012,-0.12637,0
319.98,0.018,-0.12637,0
319.98,0.024,-0.12637,0
319.98,0.03,-0.12637,0
319.98,0.036,-0.12637,0
319.98,0.042,-0.12637,0
319.98,0.048,-0.12637,0
319.98,0.054,-0.12637,0
319.98,0.06,-0.12637,0
319.98,0.066,-0.12637,0
319.98,0.072,-0.12637,0
319.97,0.078,-0.12637,0
319.97,0.084,-0.12637,0
319.97,0.09,-0.12637,0
319.96,0.096,-0.12637,0
319.96,0.102,-0.12637,0
319.96,0.108,-0.12637,0
319.96,0.114,-0.12637,0
319.95,0.12,-0.12637,0
319.95,0.126,-0.12637,0
319.95,0.132,-0.12637,0
319.95,0.138,-0.12637,0
319.95,0.144,-0.12637,0
319.95,0.15,-0.12637,0
319.95,0.156,-0.12637,0
